,X.1,scientificName,id,institutionCode,collectionCode,basisOfRecord,occurrenceID,X,kingdom,phylum,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File.Name,Notes,Quality,Chemistry,Chemistry.Author,Source,Family,Order,Class,Morphology,Photobiont,name,spectra_ID
22597.1901_0000,103,Flavoparmelia caperata,630090,MIN,Lichens,PreservedSpecimen,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,22597,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",1510,8/16/1901,1901,8,16,228,16-Aug-01,on cedars,United States,Minnesota,Saint Louis,Harding,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9861466a-71df-4b7f-99af-d0902028bb4a,http://bellatlas.umn.edu/collections/individual/index.php?occid=630031,22597.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22597.1901,22597.1901_0000
22597.1901_0001,103,Flavoparmelia caperata,630090,MIN,Lichens,PreservedSpecimen,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,22597,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",1510,8/16/1901,1901,8,16,228,16-Aug-01,on cedars,United States,Minnesota,Saint Louis,Harding,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9861466a-71df-4b7f-99af-d0902028bb4a,http://bellatlas.umn.edu/collections/individual/index.php?occid=630031,22597.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22597.1901,22597.1901_0001
22597.1901_0002,103,Flavoparmelia caperata,630090,MIN,Lichens,PreservedSpecimen,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,22597,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",1510,8/16/1901,1901,8,16,228,16-Aug-01,on cedars,United States,Minnesota,Saint Louis,Harding,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9861466a-71df-4b7f-99af-d0902028bb4a,http://bellatlas.umn.edu/collections/individual/index.php?occid=630031,22597.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22597.1901,22597.1901_0002
22597.1901_0003,103,Flavoparmelia caperata,630090,MIN,Lichens,PreservedSpecimen,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,22597,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",1510,8/16/1901,1901,8,16,228,16-Aug-01,on cedars,United States,Minnesota,Saint Louis,Harding,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9861466a-71df-4b7f-99af-d0902028bb4a,http://bellatlas.umn.edu/collections/individual/index.php?occid=630031,22597.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22597.1901,22597.1901_0003
22597.1901_0004,103,Flavoparmelia caperata,630090,MIN,Lichens,PreservedSpecimen,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,22597,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",1510,8/16/1901,1901,8,16,228,16-Aug-01,on cedars,United States,Minnesota,Saint Louis,Harding,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9861466a-71df-4b7f-99af-d0902028bb4a,http://bellatlas.umn.edu/collections/individual/index.php?occid=630031,22597.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22597.1901,22597.1901_0004
22598.1901_0000,104,Flavoparmelia caperata,632826,MIN,Lichens,PreservedSpecimen,urn:uuid:507eeedd-c912-408c-96d9-19c7fb4cbe4f,22598,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",524,7/11/1901,1901,7,11,192,11-Jul-01,on trees,United States,Minnesota,Lake of the Woods,Oak Island,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8,http://bellatlas.umn.edu/collections/individual/index.php?occid=630032,22598.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22598.1901,22598.1901_0000
22598.1901_0001,104,Flavoparmelia caperata,632826,MIN,Lichens,PreservedSpecimen,urn:uuid:507eeedd-c912-408c-96d9-19c7fb4cbe4f,22598,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",524,7/11/1901,1901,7,11,192,11-Jul-01,on trees,United States,Minnesota,Lake of the Woods,Oak Island,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8,http://bellatlas.umn.edu/collections/individual/index.php?occid=630032,22598.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22598.1901,22598.1901_0001
22598.1901_0002,104,Flavoparmelia caperata,632826,MIN,Lichens,PreservedSpecimen,urn:uuid:507eeedd-c912-408c-96d9-19c7fb4cbe4f,22598,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",524,7/11/1901,1901,7,11,192,11-Jul-01,on trees,United States,Minnesota,Lake of the Woods,Oak Island,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8,http://bellatlas.umn.edu/collections/individual/index.php?occid=630032,22598.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22598.1901,22598.1901_0002
22598.1901_0003,104,Flavoparmelia caperata,632826,MIN,Lichens,PreservedSpecimen,urn:uuid:507eeedd-c912-408c-96d9-19c7fb4cbe4f,22598,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",524,7/11/1901,1901,7,11,192,11-Jul-01,on trees,United States,Minnesota,Lake of the Woods,Oak Island,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8,http://bellatlas.umn.edu/collections/individual/index.php?occid=630032,22598.1901,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22598.1901,22598.1901_0003
22665.1896_0000,105,Flavoparmelia caperata,643387,MIN,Lichens,PreservedSpecimen,urn:uuid:39f418ce-273a-4ab1-a1b7-766ac25cf230,22665,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",77,1896-07-03,1896,7,3,185,03/Jul/1896,,United States,Minnesota,Hennepin,Neapolis,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,http://bellatlas.umn.edu/collections/individual/index.php?occid=630090,22665.1896,"small, dirt amongst samples",good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22665.1896,22665.1896_0000
22665.1896_0001,105,Flavoparmelia caperata,643387,MIN,Lichens,PreservedSpecimen,urn:uuid:39f418ce-273a-4ab1-a1b7-766ac25cf230,22665,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",77,1896-07-03,1896,7,3,185,03/Jul/1896,,United States,Minnesota,Hennepin,Neapolis,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,http://bellatlas.umn.edu/collections/individual/index.php?occid=630090,22665.1896,"small, dirt amongst samples",good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22665.1896,22665.1896_0001
22665.1896_0002,105,Flavoparmelia caperata,643387,MIN,Lichens,PreservedSpecimen,urn:uuid:39f418ce-273a-4ab1-a1b7-766ac25cf230,22665,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",77,1896-07-03,1896,7,3,185,03/Jul/1896,,United States,Minnesota,Hennepin,Neapolis,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,http://bellatlas.umn.edu/collections/individual/index.php?occid=630090,22665.1896,"small, dirt amongst samples",good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22665.1896,22665.1896_0002
22665.1896_0003,105,Flavoparmelia caperata,643387,MIN,Lichens,PreservedSpecimen,urn:uuid:39f418ce-273a-4ab1-a1b7-766ac25cf230,22665,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",77,1896-07-03,1896,7,3,185,03/Jul/1896,,United States,Minnesota,Hennepin,Neapolis,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,http://bellatlas.umn.edu/collections/individual/index.php?occid=630090,22665.1896,"small, dirt amongst samples",good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22665.1896,22665.1896_0003
900339.1912_0000,106,Flavoparmelia caperata,NA,,,,,900339,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Agnes, M.",5,1912-10-00,1912,10,0,NA,00/Oct/1912,on wood,United States,Minnesota,Saint Louis,Duluth,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,http://bellatlas.umn.edu/collections/individual/index.php?occid=760528,900339.1912,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,900339.1912,900339.1912_0000
900339.1912_0001,106,Flavoparmelia caperata,NA,,,,,900339,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Agnes, M.",5,1912-10-00,1912,10,0,NA,00/Oct/1912,on wood,United States,Minnesota,Saint Louis,Duluth,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,http://bellatlas.umn.edu/collections/individual/index.php?occid=760528,900339.1912,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,900339.1912,900339.1912_0001
900339.1912_0002,106,Flavoparmelia caperata,NA,,,,,900339,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Agnes, M.",5,1912-10-00,1912,10,0,NA,00/Oct/1912,on wood,United States,Minnesota,Saint Louis,Duluth,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,http://bellatlas.umn.edu/collections/individual/index.php?occid=760528,900339.1912,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,900339.1912,900339.1912_0002
691785.1963_0000,107,Flavoparmelia caperata,645310,MIN,Lichens,PreservedSpecimen,urn:uuid:e8e3fbb3-af68-42a2-b42a-e280189a2933,691785,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22554,1963-07-00,1963,7,0,NA,00/Jul/1963,on exposed birch trees,United States,Minnesota,Clearwater,Biological Station; Itasca State Park,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:0324c3b8-b14a-420d-9fc0-3ff7108a049a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660759,691785.1963,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,691785.1963,691785.1963_0000
691785.1963_0001,107,Flavoparmelia caperata,645310,MIN,Lichens,PreservedSpecimen,urn:uuid:e8e3fbb3-af68-42a2-b42a-e280189a2933,691785,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22554,1963-07-00,1963,7,0,NA,00/Jul/1963,on exposed birch trees,United States,Minnesota,Clearwater,Biological Station; Itasca State Park,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:0324c3b8-b14a-420d-9fc0-3ff7108a049a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660759,691785.1963,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,691785.1963,691785.1963_0001
691785.1963_0002,107,Flavoparmelia caperata,645310,MIN,Lichens,PreservedSpecimen,urn:uuid:e8e3fbb3-af68-42a2-b42a-e280189a2933,691785,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22554,1963-07-00,1963,7,0,NA,00/Jul/1963,on exposed birch trees,United States,Minnesota,Clearwater,Biological Station; Itasca State Park,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:0324c3b8-b14a-420d-9fc0-3ff7108a049a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660759,691785.1963,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,691785.1963,691785.1963_0002
691785.1963_0003,107,Flavoparmelia caperata,645310,MIN,Lichens,PreservedSpecimen,urn:uuid:e8e3fbb3-af68-42a2-b42a-e280189a2933,691785,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22554,1963-07-00,1963,7,0,NA,00/Jul/1963,on exposed birch trees,United States,Minnesota,Clearwater,Biological Station; Itasca State Park,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:0324c3b8-b14a-420d-9fc0-3ff7108a049a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660759,691785.1963,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,691785.1963,691785.1963_0003
691844.1963_0000,109,Flavoparmelia caperata,645987,MIN,Lichens,PreservedSpecimen,urn:uuid:606c92e8-1e81-4583-9a6b-c867337a4a97,691844,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22290,1963-07-00,1963,7,0,NA,00/Jul/1963,,United States,Minnesota,Clearwater,North Boundary Road; Itasca State Park,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:b4148dd6-fb6d-4ad1-9365-1a08da4d010a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660818,691844.1963,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,691844.1963,691844.1963_0000
691844.1963_0001,109,Flavoparmelia caperata,645987,MIN,Lichens,PreservedSpecimen,urn:uuid:606c92e8-1e81-4583-9a6b-c867337a4a97,691844,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22290,1963-07-00,1963,7,0,NA,00/Jul/1963,,United States,Minnesota,Clearwater,North Boundary Road; Itasca State Park,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:b4148dd6-fb6d-4ad1-9365-1a08da4d010a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660818,691844.1963,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,691844.1963,691844.1963_0001
691844.1963_0002,109,Flavoparmelia caperata,645987,MIN,Lichens,PreservedSpecimen,urn:uuid:606c92e8-1e81-4583-9a6b-c867337a4a97,691844,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22290,1963-07-00,1963,7,0,NA,00/Jul/1963,,United States,Minnesota,Clearwater,North Boundary Road; Itasca State Park,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:b4148dd6-fb6d-4ad1-9365-1a08da4d010a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660818,691844.1963,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,691844.1963,691844.1963_0002
691844.1963_0003,109,Flavoparmelia caperata,645987,MIN,Lichens,PreservedSpecimen,urn:uuid:606c92e8-1e81-4583-9a6b-c867337a4a97,691844,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22290,1963-07-00,1963,7,0,NA,00/Jul/1963,,United States,Minnesota,Clearwater,North Boundary Road; Itasca State Park,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:b4148dd6-fb6d-4ad1-9365-1a08da4d010a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660818,691844.1963,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,691844.1963,691844.1963_0003
653152.1971_0000,110,Flavoparmelia caperata,760528,MIN,Lichens,PreservedSpecimen,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,653152,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",19883,6/6/1971,1971,6,6,157,6-Jun-71,on bur oak,United States,Minnesota,Washington,S of Afton Near Ski Area,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:4adbfb89-2d87-47a7-8025-de586eecf5c4,http://bellatlas.umn.edu/collections/individual/index.php?occid=643297,653152.1971,all samples on bark,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,653152.1971,653152.1971_0000
653152.1971_0001,110,Flavoparmelia caperata,760528,MIN,Lichens,PreservedSpecimen,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,653152,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",19883,6/6/1971,1971,6,6,157,6-Jun-71,on bur oak,United States,Minnesota,Washington,S of Afton Near Ski Area,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:4adbfb89-2d87-47a7-8025-de586eecf5c4,http://bellatlas.umn.edu/collections/individual/index.php?occid=643297,653152.1971,all samples on bark,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,653152.1971,653152.1971_0001
653152.1971_0002,110,Flavoparmelia caperata,760528,MIN,Lichens,PreservedSpecimen,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,653152,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",19883,6/6/1971,1971,6,6,157,6-Jun-71,on bur oak,United States,Minnesota,Washington,S of Afton Near Ski Area,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:4adbfb89-2d87-47a7-8025-de586eecf5c4,http://bellatlas.umn.edu/collections/individual/index.php?occid=643297,653152.1971,all samples on bark,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,653152.1971,653152.1971_0002
653152.1971_0003,110,Flavoparmelia caperata,760528,MIN,Lichens,PreservedSpecimen,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,653152,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",19883,6/6/1971,1971,6,6,157,6-Jun-71,on bur oak,United States,Minnesota,Washington,S of Afton Near Ski Area,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:4adbfb89-2d87-47a7-8025-de586eecf5c4,http://bellatlas.umn.edu/collections/individual/index.php?occid=643297,653152.1971,all samples on bark,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,653152.1971,653152.1971_0003
653089.1969_0000,111,Flavoparmelia caperata,747557,MIN,Lichens,PreservedSpecimen,urn:uuid:ab99e9c0-a297-472d-b15f-6767f98fc0bb,653089,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",18575,7/21/1969,1969,7,21,202,21-Jul-69,,United States,Minnesota,Cook,"Wampus Lake, 25 Mi N Grand Marais; Superior National Forest",0,48.05611111,-90.40833333,"48°03'22""N, 90°24'30""W",6/2/2016 12:52,11,urn:uuid:329e5018-291b-4b40-acd5-a695fa65f2e3,http://bellatlas.umn.edu/collections/individual/index.php?occid=643235,653089.1969,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,653089.1969,653089.1969_0000
653089.1969_0001,111,Flavoparmelia caperata,747557,MIN,Lichens,PreservedSpecimen,urn:uuid:ab99e9c0-a297-472d-b15f-6767f98fc0bb,653089,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",18575,7/21/1969,1969,7,21,202,21-Jul-69,,United States,Minnesota,Cook,"Wampus Lake, 25 Mi N Grand Marais; Superior National Forest",0,48.05611111,-90.40833333,"48°03'22""N, 90°24'30""W",6/2/2016 12:52,11,urn:uuid:329e5018-291b-4b40-acd5-a695fa65f2e3,http://bellatlas.umn.edu/collections/individual/index.php?occid=643235,653089.1969,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,653089.1969,653089.1969_0001
653089.1969_0002,111,Flavoparmelia caperata,747557,MIN,Lichens,PreservedSpecimen,urn:uuid:ab99e9c0-a297-472d-b15f-6767f98fc0bb,653089,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",18575,7/21/1969,1969,7,21,202,21-Jul-69,,United States,Minnesota,Cook,"Wampus Lake, 25 Mi N Grand Marais; Superior National Forest",0,48.05611111,-90.40833333,"48°03'22""N, 90°24'30""W",6/2/2016 12:52,11,urn:uuid:329e5018-291b-4b40-acd5-a695fa65f2e3,http://bellatlas.umn.edu/collections/individual/index.php?occid=643235,653089.1969,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,653089.1969,653089.1969_0002
653089.1969_0003,111,Flavoparmelia caperata,747557,MIN,Lichens,PreservedSpecimen,urn:uuid:ab99e9c0-a297-472d-b15f-6767f98fc0bb,653089,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",18575,7/21/1969,1969,7,21,202,21-Jul-69,,United States,Minnesota,Cook,"Wampus Lake, 25 Mi N Grand Marais; Superior National Forest",0,48.05611111,-90.40833333,"48°03'22""N, 90°24'30""W",6/2/2016 12:52,11,urn:uuid:329e5018-291b-4b40-acd5-a695fa65f2e3,http://bellatlas.umn.edu/collections/individual/index.php?occid=643235,653089.1969,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,653089.1969,653089.1969_0003
761459.1983_0000,112,Flavoparmelia caperata,740949,MIN,Lichens,PreservedSpecimen,urn:uuid:edf6922a-8464-400a-9984-33c14de98954,761459,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",965,7/7/1983,1983,7,7,188,7-Jul-83,on paper birch,United States,Minnesota,Pine,"Pickerel Lake Campground, Nw of; Nemadji State Forest",0,NA,NA,,6/2/2016 12:52,11,urn:uuid:18e070b1-5c9e-434b-9b62-c3b881e4a1f8,http://bellatlas.umn.edu/collections/individual/index.php?occid=686637,761459.1983,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,761459.1983,761459.1983_0000
761459.1983_0001,112,Flavoparmelia caperata,740949,MIN,Lichens,PreservedSpecimen,urn:uuid:edf6922a-8464-400a-9984-33c14de98954,761459,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",965,7/7/1983,1983,7,7,188,7-Jul-83,on paper birch,United States,Minnesota,Pine,"Pickerel Lake Campground, Nw of; Nemadji State Forest",0,NA,NA,,6/2/2016 12:52,11,urn:uuid:18e070b1-5c9e-434b-9b62-c3b881e4a1f8,http://bellatlas.umn.edu/collections/individual/index.php?occid=686637,761459.1983,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,761459.1983,761459.1983_0001
761459.1983_0002,112,Flavoparmelia caperata,740949,MIN,Lichens,PreservedSpecimen,urn:uuid:edf6922a-8464-400a-9984-33c14de98954,761459,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",965,7/7/1983,1983,7,7,188,7-Jul-83,on paper birch,United States,Minnesota,Pine,"Pickerel Lake Campground, Nw of; Nemadji State Forest",0,NA,NA,,6/2/2016 12:52,11,urn:uuid:18e070b1-5c9e-434b-9b62-c3b881e4a1f8,http://bellatlas.umn.edu/collections/individual/index.php?occid=686637,761459.1983,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,761459.1983,761459.1983_0002
761459.1983_0003,112,Flavoparmelia caperata,740949,MIN,Lichens,PreservedSpecimen,urn:uuid:edf6922a-8464-400a-9984-33c14de98954,761459,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",965,7/7/1983,1983,7,7,188,7-Jul-83,on paper birch,United States,Minnesota,Pine,"Pickerel Lake Campground, Nw of; Nemadji State Forest",0,NA,NA,,6/2/2016 12:52,11,urn:uuid:18e070b1-5c9e-434b-9b62-c3b881e4a1f8,http://bellatlas.umn.edu/collections/individual/index.php?occid=686637,761459.1983,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,761459.1983,761459.1983_0003
894425.1996_0000,113,Flavoparmelia caperata,NA,,,,,894425,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",3371,5/4/1996,1996,5,4,125,4-May-96,on dead branch,United States,Minnesota,Washington,Falls Creek Scientific Natural Area,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:440ad26e-c5ce-45ef-87c7-fafec0de1fed,http://bellatlas.umn.edu/collections/individual/index.php?occid=758064,894425.1996,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,894425.1996,894425.1996_0000
894425.1996_0001,113,Flavoparmelia caperata,NA,,,,,894425,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",3371,5/4/1996,1996,5,4,125,4-May-96,on dead branch,United States,Minnesota,Washington,Falls Creek Scientific Natural Area,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:440ad26e-c5ce-45ef-87c7-fafec0de1fed,http://bellatlas.umn.edu/collections/individual/index.php?occid=758064,894425.1996,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,894425.1996,894425.1996_0001
894425.1996_0002,113,Flavoparmelia caperata,NA,,,,,894425,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",3371,5/4/1996,1996,5,4,125,4-May-96,on dead branch,United States,Minnesota,Washington,Falls Creek Scientific Natural Area,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:440ad26e-c5ce-45ef-87c7-fafec0de1fed,http://bellatlas.umn.edu/collections/individual/index.php?occid=758064,894425.1996,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,894425.1996,894425.1996_0002
894425.1996_0003,113,Flavoparmelia caperata,NA,,,,,894425,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",3371,5/4/1996,1996,5,4,125,4-May-96,on dead branch,United States,Minnesota,Washington,Falls Creek Scientific Natural Area,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:440ad26e-c5ce-45ef-87c7-fafec0de1fed,http://bellatlas.umn.edu/collections/individual/index.php?occid=758064,894425.1996,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,894425.1996,894425.1996_0003
22571.1897_0000,115,Flavoparmelia caperata,630032,MIN,Lichens,PreservedSpecimen,urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8,22571,Fungi,Ascomycota,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",254,1897-06-30,1897,6,30,181,30/Jun/1897,on earth,United States,Minnesota,Cook,Gunflint Trail; Superior National Forest,0,NA,NA,,6/2/2016 12:52,11,urn:uuid:2eeb9bc3-5b8d-4a00-a0b7-4c8a99a4c621,http://bellatlas.umn.edu/collections/individual/index.php?occid=630008,22571.1897,,good,,,,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid,22571.1897,22571.1897_0000
